Concept,Frequency
sustainable mobility,1
site renewable,1
research question,1
gas emission,1
low carbon industry,1
policy maker,1
other hand,1
citizen engagement,1
time series,1
many country,1
performance indicator,1
low carbon travel,1
pilot province,1
energy conservation,1
energy demand,1
interest litigation,1
demand side,1
heat pump,1
analysis reveal,1
living environment,1
sustainable development,1
multi - criterion,1
low carbon technology,1
face challenge,1
road transport,1
carbon reduction,1
do so,1
climate neutrality,1
power plant,1
develop country,1
public health,1
macro -,1
state own,1
policy innovation,1
so call,1
response climate change,1
post -,1
analytical framework,1
reduce carbon,1
energy saving,1
green building,1
underground space,1
mitigation adaptation,1
% global,1
space heating,1
wide range,1
carbon emission,1
open space,1
spillover effect,1
energy consumption,1
drive force,1
energy efficient,1
tailor make,1
environmentally friendly,1
provide insight,1
technology innovation,1
low carbon tourism,1
self sufficient,1
other country,1
radical change,1
electric vehicle,1
play crucial,1
low carbon transformation,1
green innovation,1
ecological civilization,1
renewable energy enterprise,1
climate action,1
renewable energy,1
payback period,1
half world,1
all world,1
greenhouse gas emission,1
energy citizenship,1
decision support,1
c publish,1
theoretical framework,1
global climate,1
address gap,1
environmental quality,1
carbon metabolism,1
solar pv,1
multilevel governance,1
transport sector,1
cross -,1
finding suggest,1
energy poverty,1
world population,1
study investigate,1
policy instrument,1
highlight importance,1
last year,1
social economic,1
paper present,1
private car,1
net emission,1
- natural,1
climate change mitigation,1
demonstration project,1
ecological environment,1
supply chain,1
semi -,1
climate mitigation,1
inevitable choice,1
issue relate,1
small medium,1
low- carbon,1
decision making,1
territory base,1
low carbon performance,1
green campus,1
rating system,1
human activity,1
article cc,1
cost optimal,1
rapid urbanization,1
local government,1
paper examine,1
spatial structure,1
community regeneration,1
human health,1
rural area,1
mainly focus,1
low carbon lifestyle,1
heat power,1
national policy,1
road network,1
improve energy efficiency,1
hot water,1
hierarchy process,1
technological solution,1
european country,1
australian city,1
shed light,1
chinese government,1
% reduction,1
influence factor,1
economic development,1
significantly improve,1
economic benefit,1
electric car,1
procuratorial public,1
trade off,1
carbon sequestration,1
different region,1
environmental impact,1
reduce energy consumption,1
public private,1
literature review,1
increase energy efficiency,1
construct low carbon,1
innovation ability,1
provide reference,1
pilot policy corporate,1
urban planner,1
rule law,1
quasi -,1
quantitative qualitative,1
climate change,1
urban expansion,1
low carbon eco,1
theoretical basis,1
low carbon future,1
lesson learn,1
elsevi right,1
evaluation method,1
central western,1
more attention,1
answer question,1
data drive,1
climate resilient,1
artificial intelligence,1
difference difference,1
well understand,1
research object,1
decision make process,1
factor affect,1
spatial temporal,1
industrial symbiosis,1
waste management,1
multi -,1
low carbon transportation,1
solid waste,1
environmental pollution,1
account %,1
real estate,1
carbon economy,1
urban agglomeration,1
different type,1
solar strategy,1
city put forward,1
carbon dioxide,1
important role,1
big datum,1
hydrogen production,1
actively promote,1
low carbon pathway,1
network governance,1
new town,1
carbon neutrality,1
civil society,1
next year,1
non -,1
practical significance,1
urban sprawl,1
regime destabilization,1
micro -,1
further research,1
paper discuss,1
district heating,1
growth rate,1
low carbon consumption,1
co2 emission,1
district level,1
greenhouse gas,1
conservation emission reduction,1
multi - energy,1
decision maker,1
result indicate,1
environmental regulation,1
systemic change,1
structured interview,1
address climate change,1
low income,1
put forward,1
guide principle,1
public interest,1
export enterprise,1
special issue,1
same time,1
mitigate climate change,1
population density,1
emission intensity,1
socio technical,1
public transport,1
live space,1
low carbon life,1
positive energy,1
eco -,1
low temperature,1
early stage,1
renewable energy source,1
business model,1
individual building,1
urban rural,1
paper describe,1
fuel cell,1
result demonstrate,1
air pollution,1
internet thing,1
east asian,1
result reveal,1
combat climate change,1
propose method,1
electric power,1
science technology,1
renewable energy technology,1
building stock,1
21st century,1
energy save,1
compact city,1
construction low carbon,1
rapid development,1
building sector,1
large scale,1
blue green,1
ecological carrying,1
production consumption,1
paper expound,1
more pronounced,1
rooftop pv,1
high efficiency,1
hybrid industry,1
threat climate change,1
so on,1
low carbon city,1
freight transport,1
address issue,1
climate neutral,1
paper aim,1
winter road,1
paper explore,1
consumption base,1
nearly energy,1
sensitivity analysis,1
publish peer,1
rail transit,1
real life,1
population live,1
reduce greenhouse gas,1
renewable resource,1
emission inventory,1
entropy weight,1
low carbon resilient,1
case study,1
list company,1
difference method,1
co -,1
method apply,1
door door,1
travel behavior,1
success factor,1
inter -,1
provide useful,1
carbon sink,1
energy supply,1
well know,1
key factor,1
low carbon economy,1
expert interview,1
public transportation,1
open access,1
passive active,1
evaluation index system,1
good practice,1
low carbon,1
traffic congestion,1
petrochemical industry,1
enterprise green,1
dual perspective,1
low carbon transition,1
financial support,1
distribute leadership,1
end use,1
ecosystem service,1
purpose paper,1
land use,1
exist literature,1
water waste,1
environmental problem,1
citizen participation,1
academic literature,1
energy self sufficiency,1
consumption perspective,1
co2 reduction,1
more importantly,1
paper analyze,1
digital technology,1
low carbon governance,1
self consumption,1
commercial building,1
second large,1
point view,1
take place,1
just transition,1
ambitious target,1
population growth,1
comprehensive evaluation,1
carbon footprint,1
net energy,1
policy making,1
technological innovation,1
long term,1
publish open,1
crucial role,1
factor influence,1
low carbon urban,1
valuable insight,1
resource dependent,1
pilot project,1
pilot policy,1
land use pattern,1
renewable electricity,1
intensity reduction,1
urbanization process,1
home abroad,1
help achieve,1
european project,1
health idea,1
smart city,1
business usual,1
emission reduction,1
low carbon transport,1
virtual reality,1
techno economic,1
low carbon urbanization,1
economic growth,1
slow traffic,1
traffic system,1
low carbon society,1
urban area,1
as well,1
index system,1
renewable energy generation,1
residential building,1
industrialization urbanization,1
action plan,1
access article,1
total energy consumption,1
practical application,1
material flow,1
combine heat,1
important part,1
key role,1
play key,1
emerge frontier,1
road freight,1
spatial heterogeneity,1
comparative analysis,1
fast grow,1
low carbon development,1
life cycle,1
sub -,1
reduction target,1
attention pay,1
environmental protection,1
cargo bike,1
provide theoretical,1
end user,1
current situation,1
industrial park,1
public participation,1
low carbon ecological,1
positive correlation,1
spatial distribution,1
urban renewal,1
socio ecological,1
mixed use,1
little attention,1
renewable source,1
about %,1
spatial planning,1
achieve net,1
challenge face,1
estimate decarbonization,1
national level,1
natural resource,1
natural experiment,1
low carbon traffic,1
energy internet,1
greenhouse gas emission reduction,1
global warming,1
energy storage,1
build environment,1
renewable energy supply,1
more efficient,1
conceptual framework,1
current status,1
develop low carbon,1
empirical analysis,1
cost effective,1
efficient operation,1
consumption pattern,1
build low carbon,1
pre -,1
% %,1
digital economy,1
provide overview,1
economic social,1
recent year,1
balance calculation,1
empirical evidence,1
provide valuable,1
multi - level,1
user friendly,1
first step,1
practical experience,1
very important,1
negative impact,1
c right reserve,1
land transfer,1
public facility,1
economic activity,1
c elsevi right,1
smart grid,1
cost effectiveness,1
metropolitan area,1
state art,1
historical cultural,1
low carbon pilot,1
low carbon behavior,1
carbon neutral,1
past decade,1
carbon intensity,1
review responsibility,1
result obtain,1
self sufficiency,1
increase attention,1
single building,1
central government,1
natural gas,1
mining approach,1
private sector,1
rapid urbanisation,1
transdisciplinary challenge,1
waste heat,1
peak carbon,1
gross domestic,1
holistic approach,1
real time,1
evaluation system,1
previous study,1
low emission,1
urgent need,1
fossil fuel,1
digital twin,1
wind turbine,1
territorial planning,1
circular economy,1
take example,1
conceptual model,1
medium sized,1
landscape design,1
low carbon community,1
air quality,1
city dweller,1
sino foreign,1
datum collect,1
dioxide emission,1
crop production,1
play important,1
take account,1
low carbon intelligent,1
energy crisis,1
high quality,1
local authority,1
great significance,1
energy balance,1
decision make,1
high density,1
effective way,1
short term,1
low carbon building,1
quality life,1
fermatean fuzzy,1
political will,1
distribution mode,1
western region,1
scientific literature,1
bottom line,1
re -,1
become more,1
smart district,1
improve quality,1
industrial structure,1
right reserve,1
most important,1
finding reveal,1
become increasingly,1
reduction greenhouse gas,1
result show,1
paper analyse,1
socio economic,1
global climate change,1
achieve goal,1
car use,1
so far,1
lccp policy,1
technology convergence,1
emission zone,1
political economic,1
challenge opportunity,1
electricity demand,1
daily life,1
environmental degradation,1
income household,1
prefecture level,1
uncoordinated coupling,1
peer review,1
green space,1
status quo,1
primary energy,1
power generation,1
energy efficiency,1
low carbonization,1
